ITEM_20150317_000001	Empty_头盔 
ITEM_20150317_003223	Mose Diesel的Crutches  
ITEM_20150317_003224	Mose Diesel made these crutches for the village youngster Cahill 
ITEM_20150317_003225	Shining Tree Sap 
ITEM_20150317_003226	The first material Ahylas Jonas requested to undo the 封印. 
ITEM_20150317_003227	Collected Canyon Amalas 
ITEM_20150317_003228	Un封印ed 水晶 Gem 
ITEM_20150317_003229	水晶 Gem needed to release the 封印 in Broken药丸ar Canyon 
ITEM_20150317_003230	Lost Rese拱形Materials 
ITEM_20150317_003231	Rese拱形materials that the new researcher lost. Some of the papers were crumpled when they were stepped on. 
ITEM_20150317_003232	A map that marked the location of the Great King的inheritance. 
ITEM_20150317_003233	Could someone eventually find out the location of the Great King Zachariel的inheritance? 
ITEM_20150317_003234	An antidote that can counteract a Scorpion的毒性. Let的get this to Dezic. 
ITEM_20150317_003235	Collapsed Magical Resource 
ITEM_20150317_003236	It seems it will explode if it is touched. Be careful. 
ITEM_20150317_003237	厚格玛的牙齿. 
ITEM_20150317_003238	A Hogma的牙齿 used to scratch out something on the slate. 
ITEM_20150317_003239	Infrobirk Meat 
ITEM_20150317_003240	Meat gotten by slaying Infrobirk. It looks tough. 
ITEM_20150317_003241	Stubby Tree Trunk 
ITEM_20150317_003242	This trunk looks like that of a normal tree. 
ITEM_20150317_003243	Remains of Treearmbloow 
ITEM_20150317_003244	It seems to use as a firewood. 
ITEM_20150317_003245	Broken Tombstone Fragment 
ITEM_20150317_003246	Lydia Schaffen的tombstone药片 regained from Cemetery Golems and Guri. 
ITEM_20150317_003247	Piece of Lydia Schaffen的Broken Tombstone 
ITEM_20150317_003248	A药片 of a broken tombstone found from a Sea Turtle. You have to put the药片s of tombstone together to see whose it is.  
ITEM_20150317_003249	restored Tombstone of Lydia Schaffen 
ITEM_20150317_003250	Finally restored the tombstone. What is in there? 
ITEM_20150317_003251	Destroyed Tombstone Fragment 
ITEM_20150317_003252	A药片 of Flurry的tombstone that a Tama picked up and ate. 
ITEM_20150317_003253	Village People的Luggage 
ITEM_20150317_003254	Luggage filled with  odds and ends 
ITEM_20150317_003255	黑色的Coal Powder 
ITEM_20150317_003256	A magical 黑色的powder made from coal that makes ink stick clearly onto parchment. 
ITEM_20150317_003257	Eternal Ember 
ITEM_20150317_003258	A material needed to open the 封印ed manual. Doesn't go out no matter how much you try. 
ITEM_20150317_003259	Piece of the Holy Ark 
ITEM_20150317_003260	The Holy Ark for holding souls has been broken. Will collecting its药片s be enough? 
ITEM_20150317_003261	小型 魔物 水晶 
ITEM_20150317_003262	A 魔物的小型 水晶 that the Suspicious Chair asked you to collect. To call it a 水晶 is a stretch, though. 
ITEM_20150317_003263	Vo冰之of 封印ed Stone 
ITEM_20150317_003264	The vo冰之of the soul 封印ed within the 封印ed Stone. You can hear a faint whisper from it. 
ITEM_20150317_003265	水晶 of Restriction 
ITEM_20150317_003266	A 水晶 infused with 魔力to prevent the 封印ed soul from escaping. 
ITEM_20150317_003267	Variation Mediator 
ITEM_20150317_003268	The Variation Mediator substance that the Variation 大法师 Furry Odd asked you to collect. 
ITEM_20150317_003269	Hardened 黑色的水晶  
ITEM_20150317_003270	A 水晶 that has been carelessly burnt. 
ITEM_20150317_003271	Flame 化妆品 
ITEM_20150317_003272	A burning 化妆品. Because it was in a 魔物的stomach, it is wet and smells bad. 
ITEM_20150317_003273	秘银质Dye for Magical Tattoo 
ITEM_20150317_003274	秘银质dye used for Simon Shaw的tattoo. It is relatively easy to get. 
ITEM_20150317_003275	Cordelier的Parchment 
ITEM_20150317_003276	Parchment Cordelier gave you. Although coal powder has been used, it is hard to see the letters because the parchment has darkened. 
ITEM_20150317_003277	Fallenlem C矿石
ITEM_20150317_003278	Contains a power source that moves the Fallenlem. Grita, who can't use magic, needs it. 
ITEM_20150317_003279	Flame 水晶 
ITEM_20150317_003280	Needed to stabilize the Flame Gem. 
ITEM_20150317_003281	Bagworm的Body Fluid 
ITEM_20150317_003282	Material needed to make a Bokor娃娃. 
ITEM_20150317_003283	Thornball的Stem 
ITEM_20150317_003284	Memo Paper of Believer 
ITEM_20150317_003285	A method for removing thorny vines is written on the paper. 
ITEM_20150317_003286	Matches 
ITEM_20150317_003287	An ember to burn the thorny vines. 
ITEM_20150317_003288	Acidic Solution 
ITEM_20150317_003289	A strong acidic solution that can melt through thorny vines. 
ITEM_20150317_003290	Magical Power 水晶  
ITEM_20150317_003291	A 水晶 needed to remove thorny vines by holy power. It needs charging and refining to be used. 
ITEM_20150317_003292	Thornball Wreckage 
ITEM_20150317_003293	Thornball Wreckage burns well, even in rain. 
ITEM_20150317_003294	Some fluid with a sour smell that oozed out from a toenail. 
ITEM_20150317_003295	Horrible-Smelling Body Fluid 
ITEM_20150317_003296	A useful fluid for flushing out the mini Griva that has become a parasite on Greepelli的hair. 
ITEM_20150317_003297	Adele的环状 
ITEM_20150317_003298	Adele treasures this ring. Let的get it back to Adele. 
ITEM_20150317_003299	毒性ous Mushroom of Treepelli 
ITEM_20150317_003300	A Treepelli的毒性ous mushroom. Most people think it的a horn. 
ITEM_20150317_003301	A strong acidic solution that can melt through thorny stems. 
ITEM_20150317_003302	Operer Spit 
ITEM_20150317_003303	An Operor的saliva that has the power to purify corrupted magical 水晶s. 
ITEM_20150317_003304	Refined Spell 水晶 
ITEM_20150317_003305	A 完完全全的purified magical 水晶. It can remove the thorny vines blocking the path. 
ITEM_20150317_003306	Cauli鲜花 Sap 
ITEM_20150317_003307	Highly volatile sap. Essential for burning away wet thorny vines. 
ITEM_20150317_003308	Stimulants 
ITEM_20150317_003309	A medicine effective in resto环状 one的mind. 
ITEM_20150317_003310	Power 水晶 
ITEM_20150317_003311	A 水晶 of power gotten from defeating Cholirus. It is used to make a 水晶 of light. 
ITEM_20150317_003312	Magical Enchantment 水晶  
ITEM_20150317_003313	A 水晶 filled with enough energy to activate the underground enchantment. 
ITEM_20150317_003314	Operation Map 
ITEM_20150317_003315	Visual plans, where you can see the goal area for the operation. It is in the middle. 
ITEM_20150317_003316	棘刺的Pollen 
ITEM_20150317_003317	Pollen used to exorcise evil 精神s. 
ITEM_20150317_003318	Lever Handle Latch 
ITEM_20150317_003319	A latch used to tie down the handle of the cable car的lever. 
ITEM_20150317_003320	Gear 
ITEM_20150317_003321	A metal part shaped like a wheel that 魔物们 had stolen. It is clearly a part of the cable car. 
ITEM_20150317_003322	Plateau Sugar Beets 
ITEM_20150317_003323	Sweet tasting Plateau specialty sugar beets. Young animals love them. 
ITEM_20150317_003324	Cable Car Parts 
ITEM_20150317_003325	Parts acqui红色的from around the broken cable car 
ITEM_20150317_003326	棘刺的Pollen Stimulant 
ITEM_20150317_003327	Good medicine for when the atmosphere becomes contaminated and hazy. 
ITEM_20150317_003328	Blue Fragaras Petal 
ITEM_20150317_003329	A Fragaras' resin is an effective exorcising material. 
ITEM_20150317_003330	仪式istic Rope 
ITEM_20150317_003331	A ceremonial rope carried by a 哑剧之Shaman 
ITEM_20150317_003332	Mane Enchanted with 精神ual Power 
ITEM_20150317_003333	A mane taken from the nape of a defeated Mushcarian 
ITEM_20150317_003334	Scripture Verses 
ITEM_20150317_003335	A legendary verse used to defeat Gesti. Seems like it的not the right time to use this. 
ITEM_20150317_003336	A legendary verse used to defeat Gesti. It needs to be recharged bef矿石it can be used. 
ITEM_20150317_003337	A legendary verse used to defeat Gesti. It的ready to be used. 
ITEM_20150317_003338	Purification Voodoo娃娃 Summon 卷轴 
ITEM_20150317_003339	A catalyst containing a Voodoo娃娃. Activates the Voodoo娃娃 when used. 
ITEM_20150317_003340	Igniter 
ITEM_20150317_003341	An igniter found in a beacon mound. 
ITEM_20150317_003342	Counterfeit Goods 
ITEM_20150317_003343	Counterfeit goods passed to you from Kevin. They're not finished. 
ITEM_20150317_003344	Divine 水晶 
ITEM_20150317_003345	Lowers the 力量 of 魔物们 when used on them. 
ITEM_20150317_003346	Broken Altar药片 
ITEM_20150317_003347	A药片 broken off from the altar on the second floor of the 大教堂 
ITEM_20150317_003348	Lesser 药剂 of 轻型
ITEM_20150317_003349	When used, you become invisible to Demons for 10 秒钟. The effect disappears if you 攻击 or take 伤害. 
ITEM_20150317_003350	Lesser Bead of the Divine 精神 
ITEM_20150317_003351	When used, a Divine 精神 appears and provokes nearby Demons. 
ITEM_20150317_003352	Revelator的Proof 
ITEM_20150317_003353	An in灵巧describing how to obtain the Legendary 钥匙from the West Barrier. 
ITEM_20150317_003354	Spatial Crest 
ITEM_20150317_003355	A special 钥匙for finding revelations and hidden places. 
ITEM_20150317_003356	Merog Spittle 
ITEM_20150317_003357	It creates an awakening effect if it is mixed with 棘刺的鲜花 Powder Stimulant. 
ITEM_20150317_003358	Enhanced 棘刺的鲜花 Stimulant 
ITEM_20150317_003359	It has a better effect than the 棘刺的鲜花 Powder  
ITEM_20150317_003360	棘刺的鲜花 Fluid 
ITEM_20150317_003361	It has an awakening effect if mixed with a Merog的spit. 
ITEM_20150317_003362	Slime的Body Liquid 
ITEM_20150317_003363	Material requested by the Elementalist 大师之to prove your qualification 
ITEM_20150317_003364	Hallowventer 骨头药片 
ITEM_20150317_003365	Graveyard Golem Activation C矿石
ITEM_20150317_003366	Dew Recepticle 
ITEM_20150317_003367	A vessel to h老旧的water enchanted with 精神ual power. 
ITEM_20150317_003368	Flimsy 化妆品 
ITEM_20150317_003369	Altar Base Material. 
ITEM_20150317_003370	An enemy that dies with this 化妆品 attached to it is supposed to be under our control but.. It seems kind of shabby. 
ITEM_20150317_003371	全包精神 Pot 
ITEM_20150317_003372	A pot filled with the magical energy that flows through the 皇家 Tombs. 
ITEM_20150317_003373	黑色的Maize 毒性  
ITEM_20150317_003374	Ingredient necessary to redecorate the Obelisk. It has a high level of acidity. 
ITEM_20150317_003375	Paralysis Powder 
ITEM_20150317_003376	Paralysis Powder that can stun the 黑色的Maize in Rhombuspaving Dale. 
ITEM_20150317_003377	White 欧克 Essence  
ITEM_20150317_003378	Ingredient necessary for the paint used in painting inscriptions onto the Obelisk. It的黑色的in color. 
ITEM_20150317_003379	Adhesive Coating  
ITEM_20150317_003380	Ingredient necessary to redecorate the Obelisk. It的very sticky. 
ITEM_20150317_003381	Paladin 卷轴 
ITEM_20150317_003382	A 卷轴 used to mark the divine symbol of a Paladin onto Demons 
ITEM_20150317_003383	Shrine Offe环状 Tools 
ITEM_20150317_003384	The sac红色的energies of the Shrine still infuse them. 
ITEM_20150317_003385	Restraint Ward 钥匙
ITEM_20150317_003386	A 钥匙to release the restraint ward tied by Goddess Saule 
ITEM_20150317_003387	Nikotia Herbs 
ITEM_20150317_003388	A great herb requested by the Cleric Master. 
ITEM_20150317_003389	Goddess Offe环状 Pocket 
ITEM_20150317_003390	An offe环状 pocket that clerics use to worship the Goddess Statue. 
ITEM_20150317_003391	Balm 
ITEM_20150317_003392	A balm used to repair Goddess Statue. It has an unusual, but gentle, scent. 
ITEM_20150317_003393	Boss Decision 
ITEM_20150317_003394	Firm Oil 
ITEM_20150317_003395	It has a pronounced effect  
ITEM_20150317_003396	Peltasta 盾牌 
ITEM_20150317_003397	A 盾牌 requested of the Fletcher 大师之from the Peltasta Master. 
ITEM_20150317_003398	Dock Permit 
ITEM_20150317_003399	A necessary permit needed for a ship to enter the port. 
ITEM_20150317_003400	Navigator的Chart 
ITEM_20150317_003401	A necessary map for sailing. It describes the ocean currents and wind directions. 
ITEM_20150317_003402	Contract 
ITEM_20150317_003403	What kind of contract is this? 
ITEM_20150317_003404	Whetstone Bag 
ITEM_20150317_003405	A bag that can h老旧的a lot of whetstones. 
ITEM_20150317_003406	Moya Body Fluid Sample 
ITEM_20150317_003407	A body fluid sample extracted from a Moya 
ITEM_20150317_003408	Intermediate Arrow Sample 
ITEM_20150317_003409	An arrow sample created by the Fletcher Master. It has good balance. 
ITEM_20150317_003410	Sounding Wood 
ITEM_20150317_003411	Wood that the Fletcher 大师之is looking for. It p魔棒uces a fine timbre when knocked on. 
ITEM_20150317_003412	Grime-Encrusted Tree 
ITEM_20150317_003413	 
ITEM_20150317_003414	Simple Tube 
ITEM_20150317_003415	A simple tube that can shoot a neruotoxin dart 
ITEM_20150317_003416	Synthetic 毒性 
ITEM_20150317_003417	A special 毒性 made from a Stoulet的bodily fluids. It only reacts with the neurotoxin dart used with the Simple Tube. 
ITEM_20150317_003418	Phalanx Tactics 
ITEM_20150317_003419	An easy tactic made for beginner Centurions, it is nonetheless difficult to remember without practice. 
ITEM_20150317_003420	Flare 
ITEM_20150317_003421	A flare mainly used by Scouts. Used to find hidden 魔物们. 
ITEM_20150317_003422	Stone Rubbing 
ITEM_20150317_003423	A rubbing of Lydia Schaffen requested by the 连发 射手 大师之for testing. 
ITEM_20150317_003424	Heavily Cursed Jewel 
ITEM_20150317_003425	A jewel suffe环状 from a very powerful curse. It seems to be continuously calling to someone. 
ITEM_20150317_003426	Mostem 火焰Jar 
ITEM_20150317_003427	Jar of 火焰obtained from  Mostems. Mostems treasure them. 
ITEM_20150317_003428	Blue Fisherman 骨头 
ITEM_20150317_003429	Blue Fisherman 骨头. It too 小型 to hold.  
ITEM_20150317_003430	Guts of a Lepus Bunny 
ITEM_20150317_003431	Feels terrible 
ITEM_20150317_003432	Harpeia Beak 
ITEM_20150317_003433	The beak of a Harpeia. It is very sharp. 
ITEM_20150317_003434	Smoke Grenade 
ITEM_20150317_003435	Used to easily escape from enemies during a crisis. Bang! 
ITEM_20150317_003436	Orb of Provocation 
ITEM_20150317_003437	An orb very useful for taunting enemies  
ITEM_20150317_003438	Lasso 
ITEM_20150317_003439	A rope with a noose attached to it. Used for thro羽翼 and tying up enemies. 
ITEM_20150317_003440	Sapper Master的Int魔棒uction Letter 
ITEM_20150317_003441	Letter of int魔棒uction that Sapper 大师之wrote to the Highlander 大师之
ITEM_20150317_003442	Highlander Master的Proof 
ITEM_20150317_003443	Confirmation from the Highlander 大师之that you accomplished all of the necessary requirements for advancement. 
ITEM_20150317_003444	Tanu Purification Jewel   
ITEM_20150317_003445	 
ITEM_20150317_003446	Skill Item 
ITEM_20150317_003447	Use skill item 
ITEM_20150317_003448	Gorge Metos Sap 
ITEM_20150317_003449	Liquid extracted from Gorge Metoses. It is used as an ingredient in medicine used for alleviating mental illness symptoms. 
ITEM_20150317_003450	遗迹 Record 
ITEM_20150317_003451	A record of 遗迹s copied as dictated by 口帕ct. Only the shape and size of the 遗迹s are recorded. 
ITEM_20150317_003452	Memorial Rubbings 
ITEM_20150317_003453	Rubbings requested by the epigraphist 铁匠之
ITEM_20150317_003454	A torn letter found from a dead body. Let的find a place to place the 遗迹s. 
ITEM_20150317_003455	Lethal Move of Zibeck 
ITEM_20150317_003456	A 卷轴 contains the lethal move of legendary thief Zibeck. Once used, it 给予 you 1 stat 点数.. 
ITEM_20150317_003457	Jewel of 红色的Flames 
ITEM_20150317_003458	Gem containing an aura of fire. It will be helpful to the Goddess Gabija. 
ITEM_20150317_003459	Languid Herb 
ITEM_20150317_003460	A herb that makes one feel languid 
ITEM_20150317_003461	Strongly Scented Soul 鲜花 
ITEM_20150317_003462	A 鲜花 with a powerful fragrance. There is a rumor that souls inhabit this 鲜花. 
ITEM_20150317_003463	Useful Bomb  
ITEM_20150317_003464	Explosives made to prevent 魔物们 from advancing into Andail Village. 
ITEM_20150317_003465	Languid Herb Bomb  
ITEM_20150317_003466	The chemical essence of the Languid Herb has been concentrated for use in this bomb. 
ITEM_20150317_003467	Sparnas Bait  
ITEM_20150317_003468	A bait used to attract Sparnas. It made by lumping together 老旧的grains. 
ITEM_20150317_003469	Simple Supplies 
ITEM_20150317_003470	Supplies requested by the supplier to be delive红色的to the Danus unit. 
ITEM_20150317_003471	Scot的First Report 
ITEM_20150317_003472	 
ITEM_20150317_003473	补给 Pouch 
ITEM_20150317_003474	A pouch of supplies looted by 乌波们. Let的take these to Yukurt to investigate the odd behaviour of the 乌波们. 
ITEM_20150317_003475	Doki Oil 
ITEM_20150317_003476	Oil that reeks with a Doki的scent. 
ITEM_20150317_003477	Toolbox 
ITEM_20150317_003478	Full of tools used to repair the scarecrow. 
ITEM_20150317_003479	Death Marker 
ITEM_20150317_003480	A marker found from 恰帕瑞森. The voices of the killed innocents echo from it. 
ITEM_20150317_003481	A 项链 that a ghost asked you to take to his younger brother. A modest 坠饰 is attached to it. 
ITEM_20150317_003482	A bag full of money. What was the Reaper doing with this? 
ITEM_20150317_003483	Messenger的Note 
ITEM_20150317_003484	A messenger的hastily scribbled note. It describes a great threat. 
ITEM_20150317_003485	Ancient Writings  
ITEM_20150317_003486	There are verses on it to appease the souls of those who died while researching the 皇家 Tombs. 
ITEM_20150317_003487	Wizard的Torn Page 
ITEM_20150317_003488	A page torn from a book. It looks like the author is Shaman Show.  
ITEM_20150317_003489	Mark of a Pilgrim 
ITEM_20150317_003490	A pilgrim的mark swallowed by a 魔物. The owner is nowhere to be found. 
ITEM_20150317_003491	大教堂 Marble Parts 
ITEM_20150317_003492	Marble Parts found attached to the 魔物们 in the 大教堂. 
ITEM_20150317_003493	Storyteller的Book 
ITEM_20150317_003494	A book that Koven hid in a box. 
ITEM_20150317_003495	Secret Box 钥匙
ITEM_20150317_003496	Koven gave you this key, saying it opened a locked box. Let的look for this box. 
ITEM_20150317_003497	Simple Item 
ITEM_20150317_003498	Requested Item 
ITEM_20150317_003499	练习用Wood Carving Scraps 
ITEM_20150317_003500	The 练习用wood carving is 完完全全的broken. 
ITEM_20150317_003501	Intermediate Item_1 
ITEM_20150317_003502	Intermediate Item_2 
ITEM_20150317_003503	Fixed 练习用Wood Carving 
ITEM_20150317_003504	The broken 练习用wood carving has fixed. It has been reinforced to be m矿石durable. 
ITEM_20150317_003505	Hardened Tree Log 
ITEM_20150317_003506	Log requi红色的to fix the 练习用wood carving 
ITEM_20150317_003507	Rope 
ITEM_20150317_003508	Rope requi红色的to fix the scarecrow 
ITEM_20150317_003509	Memory Fragment 
ITEM_20150317_003510	An orb necessary to complete the spell that wakes the Sleeping Owls to aid Gaigalus. 
ITEM_20150317_003511	Unstable Holy 矛. It cannot be used in its current state. 
ITEM_20150317_003512	Huge Fang 
ITEM_20150317_003513	Huge Fang obtained from Minotaur of Susanhan marketplace 
ITEM_20150317_003514	Natural Agate Stone 
ITEM_20150317_003515	Parts needed for a new trap devised by the Sapper Master. 
ITEM_20150317_003516	 
ITEM_20150317_003517	 
ITEM_20150317_003518	Legwyn Family 饰品 
ITEM_20150317_003519	A trinket belonging to the 老旧的Legwyn Family 
ITEM_20150317_003520	An ingredient of a drug requi红色的to cure the patient 
ITEM_20150317_003521	Holy 遗迹 
ITEM_20150317_003522	A holy 遗迹 used by Krivises as a symbol of 他们的faith. Lost in the city by someone. 
ITEM_20150317_003523	Stone Whale Essence 
ITEM_20150317_003524	An essence filled with the resentment of many souls. 
ITEM_20150317_003525	Dense Hardwood  
ITEM_20150317_003526	Material requested by the sculptor Tesla 
ITEM_20150317_003527	 
ITEM_20150317_003528	 
ITEM_20150317_003529	Lost Indulgence Offe环状 
ITEM_20150317_003530	Offe环状 envelope embossed with the Pardoner的Crest 
ITEM_20150317_003531	Mali Seeds 
ITEM_20150317_003532	Mali seeds obtained from killing Malis. 
ITEM_20150317_003533	Destructive Shaman娃娃 Summoning 卷轴 
ITEM_20150317_003534	A 卷轴 to summon a Destructive Shaman娃娃 
ITEM_20150317_003535	Destroyed药片 of Barrier 
ITEM_20150317_003536	Part of a broken enchantment used to protect Mazas' nest. Can it be restored? 
ITEM_20150317_003537	Mallardu Fat 
ITEM_20150317_003538	A material that is needed to wake up the Nepenthes. It doesn't catch 火焰in its current state. 
ITEM_20150317_003539	Combustible Fat 
ITEM_20150317_003540	The fat of a Mallardu that has been prepa红色的to burn well. Use it to wake up the Nepenthes. 
ITEM_20150317_003541	精神ually Enchanted Sap 
ITEM_20150317_003542	It must be gathe红色的from the Nepenthes while it的alive for it to have any effect. 
ITEM_20150317_003543	昆虫 Secretion 
ITEM_20150317_003544	Secretion that can be used to attract Biteregina 
ITEM_20150317_003545	老旧的护符 
ITEM_20150317_003546	An enemy killed with this 化妆品 attached to them will join your side! 
ITEM_20150317_003547	First revelation found from the 水晶 Mine 
ITEM_20150317_003548	Eye of Madness 
ITEM_20150317_003549	魔棒elin的eye. It is said to be able to erase an enemy的senses. 
ITEM_20150317_003550	Wicked Essence  
ITEM_20150317_003551	An ingredient necessary to make the Holy 精神 Bomb. It must be purified bef矿石it can be used. 
ITEM_20150317_003552	Purified Essence  
ITEM_20150317_003553	An ingredient necessary to make the Holy 精神 Bomb. The purified result of Wicked Essence. 
ITEM_20150317_003554	Romuba Holy Water  
ITEM_20150317_003555	When consumed it will prevent Demons from detecting your presence! 
ITEM_20150317_003556	Holy 精神 Bomb 
ITEM_20150317_003557	A bomb blessed with holy power. It can defeat Glizardon in a single blow. 
ITEM_20150317_003558	Holy 精神 Stone 
ITEM_20150317_003559	守卫的卷轴 
ITEM_20150317_003560	Once the 卷轴 is used, one can distinguish which Hogmas are wea环状 项链s. 
ITEM_20150317_003561	Shabby-Looking 项链 
ITEM_20150317_003562	On the back "To ...oved Rukl..s, Lydia." is visible. 
ITEM_20150317_003563	小型 Demon的护裙 Hem 
ITEM_20150317_003564	A 护裙 hem obtained by defeating Pawndel and Pawnd. An ingredient needed to make the 恶魔 Transformation 卷轴. 
ITEM_20150317_003565	Soul of Pawnd  
ITEM_20150317_003566	A soul of a 恶魔 collected in order to identify 恶魔 魔物们 
ITEM_20150317_003567	Soul of Pawndel  
ITEM_20150317_003568	Soul of Corylus  
ITEM_20150317_003569	Bucket  
ITEM_20150317_003570	Bucket used to h老旧的water. Seems like a rope can be tied to it. 
ITEM_20150317_003571	久远的Rope  
ITEM_20150317_003572	A very 久远的rope. Seems like something can be tied to it.  
ITEM_20150317_003573	恶魔 Transformation 卷轴 
ITEM_20150317_003574	Use this 卷轴 to transform to Panwndel or Pawnd. 
ITEM_20150317_003575	轻型水晶 
ITEM_20150317_003576	A Power 水晶 processed and filled with the 力量 of light. It can release the enchantment that binds the 封印ed 大教堂 doors. 
ITEM_20150317_003577	Muddy 项链 
ITEM_20150317_003578	老旧的and muddy 项链 dropped by someone 久远的ago. 
ITEM_20150317_003579	乌波的木质Arrow 
ITEM_20150317_003580	木质arrow used by High 乌波 Archers. It might be useful for kindling. 
ITEM_20150317_003581	Ingredient necessary to make the 粗糙的Divining 魔棒 used to se拱形for the First Tombstone Fragment. You need to collect a lot of them. 
ITEM_20150317_003582	粗糙的Divining 魔棒 
ITEM_20150317_003583	A divining 魔棒 used to se拱形for the First Tombstone Fragment which has been hidden somewhere underground. Looks weak enough to be broken by even the slightest amount of force. 
ITEM_20150317_003584	Dusty Ruin Rubble 
ITEM_20150317_003585	Rubble that the epigraphist Raymond orde红色的you to collect with the suspicion that it might contain a part of the Second Tombstone. A Second Tombstone Fragment may or may not be in here... 
ITEM_20150317_003586	Stumpy Tree Sap 
ITEM_20150317_003587	The sap of a stumpy tree requested by general goods merchant Edang. Its powerful medical properties have made it a highly valued commodity. 
ITEM_20150317_003588	Sap Collector 
ITEM_20150317_003589	A tool used to collect the sap of a Treearmb低端的
ITEM_20150317_003590	First Tombstone Fragment 
ITEM_20150317_003591	The first part of the lost Ruklys monument 
ITEM_20150317_003592	Second Tombstone Fragment 
ITEM_20150317_003593	The second part of the lost Ruklys monument 
ITEM_20150317_003594	Carbonized Tombstone Fragment 
ITEM_20150317_003595	The third part of the lost Ruklys monument 
ITEM_20150317_003596	Fourth Tombstone Fragment 
ITEM_20150317_003597	The fourth part of the lost Ruklys monument 
ITEM_20150317_003598	Ruin Rubble 
ITEM_20150317_003599	The Fifth Tombstone Fragment is mixed into this pile of debris. 
ITEM_20150317_003600	restored Tombstone Frgment 
ITEM_20150317_003601	A finished part of the lost Ruklys monument 
ITEM_20150317_003602	There are illegible words written on it. 
ITEM_20150317_003603	The second revelation found from 特尼特大教堂 
ITEM_20150317_003604	Tombstone Fragment Package 
ITEM_20150317_003605	A package that the treasure hunter Edang asked you to deliver to the epigraphist Raymond 
ITEM_20150317_003606	Ruklys Memorial药片 
ITEM_20150317_003607	A fragment prepa红色的so epigraphist 铁匠之can easily rest矿石it. 
ITEM_20150317_003608	First Rubbing 
ITEM_20150317_003609	A rubbing of the First Lydia Schaffen Monument 
ITEM_20150317_003610	Second Rubbing 
ITEM_20150317_003611	A rubbing of the Second Lydia Schaffen Monument 
ITEM_20150317_003612	Third Rubbing 
ITEM_20150317_003613	A rubbing of the Third Lydia Schaffen Monument 
ITEM_20150317_003614	Fourth Rubbing 
ITEM_20150317_003615	A rubbing of the Fourth Lydia Schaffen Monument 
ITEM_20150317_003616	Fifth Rubbing 
ITEM_20150317_003617	A rubbing of the Fifth Lydia Schaffen Monument 
ITEM_20150317_003618	Arrow Bundle 
ITEM_20150317_003619	An Arrow Bundle that Hunter Talas requested to be 火焰hardened in order to be used against Infrobucks. 
ITEM_20150317_003620	Experimental Ingredients 
ITEM_20150317_003621	Experimental materials requested by necromancer Drashus. Take it to Drashus. 
ITEM_20150317_003622	Waterweed 
ITEM_20150317_003623	Waterweed that grows in the Clearawl Brook. Drashus uses it when summoning powerful 精神s.  
ITEM_20150317_003624	Lizardman 意志 Control Stone 
ITEM_20150317_003625	If you defeat a Lizardman after using this stone, it will fol低端的you. 
ITEM_20150317_003626	Infrobuck 意志 Control Stone 
ITEM_20150317_003627	If you defeat a Infrobuck after using this stone, it will fol低端的you. 
ITEM_20150317_003628	Rubbing Tool 
ITEM_20150317_003629	A tool given to you by Hunter Talas to make rubbings of the Lydia Schaffen Monmuments. 
ITEM_20150317_003630	火焰Hardened Arrowhead 
ITEM_20150317_003631	An arrowhead hardened by 火焰to be used against Infrobucks. 
ITEM_20150317_003632	久远的Arm Tree Charcoal 
ITEM_20150317_003633	Charcoal obtained from defeating the 久远的Arm Tree. Touching it leaves a 黑色的stain. 
ITEM_20150317_003634	Soi Bomb 
ITEM_20150317_003635	A bomb that can 轻型the 久远的Arm Tree on fire. 
ITEM_20150317_003636	Revelation that Bramble had. It的unreadable - let的take it to Goddess Saule. 
ITEM_20150317_003637	守卫ian Awakening Dev冰之
ITEM_20150317_003638	It is said to be able to wake the sleeping Boowook. 
ITEM_20150317_003639	Zolem 魔力Stone 
ITEM_20150317_003640	A Zolem的魔力Stone needed to lure a Unicorn 
ITEM_20150317_003641	Unicorn Horn 
ITEM_20150317_003642	A trophy taken from a defeated Unicorn. Let的take it to 费迪南的Army Officer. 
ITEM_20150317_003643	Empty Beehive 
ITEM_20150317_003644	A beehive that has had all its honey sucked out of it, leaving the beeswax. 
ITEM_20150317_003645	Cork Stopper 
ITEM_20150317_003646	A cork stopper that was 封印ing the oil barrel. 
ITEM_20150317_003647	Bre羽翼 Tools 
ITEM_20150317_003648	Tools used for bre羽翼 
ITEM_20150317_003649	皇家 Jelly 
ITEM_20150317_003650	Highly nutritious 皇家 Jelly! 
ITEM_20150317_003651	魔物的Claw (Temporary) 
ITEM_20150317_003652	 
ITEM_20150317_003653	Petrification Stolen Goods 
ITEM_20150317_003654	 
ITEM_20150317_003655	Cryptically Engraved Bottle 
ITEM_20150317_003656	 
ITEM_20150317_003657	Very 老旧的Map 
ITEM_20150317_003658	A map that looks ancient. It looks like it will crumble. 
ITEM_20150317_003659	Fragrant Stone Powder 
ITEM_20150317_003660	 
ITEM_20150317_003661	魔物 Meat * 
ITEM_20150317_003662	Chunks of Meat that can easily be obtained from 魔物们. But humans can not eat it. 
ITEM_20150317_003663	 
ITEM_20150317_003664	 
ITEM_20150317_003665	Soft 木质Periderm 
ITEM_20150317_003666	The inner layer of bark dug out from a tree on the Way of Big Starving Demon. Don't eat too much of it. 
ITEM_20150317_003667	小型 Music Box 
